id;nome;pais
621;Nasser Aldawsari;Arábia Saudita
622;Foto do Time;Arábia Saudita
623;Saleh Abu Alshamat;Arábia Saudita
624;Marwan Alsahafi;Arábia Saudita
625;Salem Aldawsari;Arábia Saudita
626;Abdulrahman Al-Aboud;Arábia Saudita
627;Feras Albrikan;Arábia Saudita
628;Saleh Alshehri;Arábia Saudita
629;Abdullah Al-Hamdan;Arábia Saudita
630;Escudo Cabo Verde;Cabo Verde
631;Vozinha;Cabo Verde
632;Logan Costa;Cabo Verde
633;Pico;Cabo Verde
634;Diney;Cabo Verde
635;Steven Moreira;Cabo Verde
636;Wagner Pina;Cabo Verde
637;João Paulo;Cabo Verde
638;Yannick Semedo;Cabo Verde
639;Kevin Pina;Cabo Verde
640;Patrick Andrade;Cabo Verde
641;Jamiro Monteiro;Cabo Verde
642;Foto do Time;Cabo Verde
643;Deroy Duarte;Cabo Verde
644;Garry Rodrigues;Cabo Verde
645;Jovane Cabral;Cabo Verde
646;Ryan Mendes;Cabo Verde
647;Dailon Livramento;Cabo Verde
648;Willy Semedo;Cabo Verde
649;Bebé;Cabo Verde
650;Escudo França;França
651;Mike Maignan;França
652;Theo Hernández;França
653;William Saliba;França
654;Jules Koundé;França
655;Ibrahima Konaté;França
656;Dayot Upamecano;França
657;Lucas Digne;França
658;Aurélien Tchouaméni;França
659;Eduardo Camavinga;França
660;Manu Koné;França
661;Adrien Rabiot;França
662;Foto do Time;França
663;Michael Olise;França
664;Ousmane Dembélé;França
665;Bradley Barcola;França
666;Désiré Doué;França
667;Kingsley Coman;França
668;Hugo Ekitike;França
669;Kylian Mbappé;França
670;Escudo Senegal;Senegal
671;Eduardo Mendy;Senegal
672;Yehvann Diouf;Senegal
673;Moussa Niakhaté;Senegal
674;Abdoulaye Seck;Senegal
675;Ismail Jakobs;Senegal
676;El Hadji Malick Diouf;Senegal
677;Kalidou Koulibaly;Senegal
678;Idrissa Gana Gueye;Senegal
679;Pape Matar Sarr;Senegal
680;Pape Gueye;Senegal
681;Habib Diarra;Senegal
682;Foto do Time;Senegal
683;Lamine Camara;Senegal
684;Sadio Mané;Senegal
685;Ismaïla Sarr;Senegal
686;Boulaye Dia;Senegal
687;Iliman Ndiaye;Senegal
688;Nicolas Jackson;Senegal
689;Krepin Diatta;Senegal
690;Escudo Noruega;Noruega
691;Ørjan Nyland;Noruega
692;Julian Ryerson;Noruega
693;Leo Østigård;Noruega
694;Kristoffer Ajer;Noruega
695;Marcus Holmgren Pedersen;Noruega
696;David Møller Wolfe;Noruega
697;Torbjørn Heggem;Noruega
698;Morten Thorsby;Noruega
699;Martin Ødegaard;Noruega
700;Sander Berge;Noruega
701;Andreas Schjelderup;Noruega
702;Foto do Time;Noruega
703;Patrick Berg;Noruega
704;Erling Haaland;Noruega
705;Alexander Sørloth;Noruega
706;Aron Dønnum;Noruega
707;Jørgen Strand Larsen;Noruega
708;Antonio Nusa;Noruega
709;Oscar Bobb;Noruega
710;Escudo Iraque;Iraque
711;Jalal Hassan;Iraque
712;Rebin Sulaka;Iraque
713;Hussein Ali;Iraque
714;Akam Hashem;Iraque
715;Merchas Doski;Iraque
716;Zaid Tahseen;Iraque
717;Manaf Younis;Iraque
718;Zidane Iqbal;Iraque
719;Amir Al-Ammari;Iraque
720;Ibrahim Bayesh;Iraque
721;Ali Jasim;Iraque
722;Foto do Time;Iraque
723;Youssef Amyn;Iraque
724;Aimar Sher;Iraque
725;Marko Farji;Iraque
726;Osama Rashid;Iraque
727;Ali Al-Hamadi;Iraque
728;Aymen Hussein;Iraque
729;Mohanad Ali;Iraque
730;Escudo Argentina;Argentina
731;Emiliano Martínez;Argentina
732;Nahuel Molina;Argentina
733;Cristian Romero;Argentina
734;Nicolás Otamendi;Argentina
735;Nicolás Tagliafico;Argentina
736;Leonardo Balerdi;Argentina
737;Enzo Fernández;Argentina
738;Alexis Mac Allister;Argentina
739;Rodrigo De Paul;Argentina
740;Exequiel Palacios;Argentina
741;Leandro Paredes;Argentina
742;Foto do Time;Argentina
743;Nico Paz;Argentina
744;Franco Mastantuono;Argentina
745;Nico González;Argentina
746;Lionel Messi;Argentina
747;Lautaro Martínez;Argentina
748;Julián Álvarez;Argentina
749;Giuliano Simeone;Argentina
750;Escudo Áustria;Áustria
751;Alexander Schlager;Áustria
752;Patrick Pentz;Áustria
753;David Alaba;Áustria
754;Kevin Danso;Áustria
755;Philipp Lienhart;Áustria
756;Stefan Posch;Áustria
757;Phillipp Mwene;Áustria
758;Alexander Prass;Áustria
759;Xaver Schlager;Áustria
760;Marcel Sabitzer;Áustria
761;Konrad Laimer;Áustria
762;Foto do Time;Áustria
763;Florian Grillitsch;Áustria
764;Nicolas Seiwald;Áustria
765;Romano Schmid;Áustria
766;Patrick Wimmer;Áustria
767;Christoph Baumgartner;Áustria
768;Michael Gregoritsch;Áustria
769;Marko Arnautović;Áustria
770;Escudo Argélia;Argélia
771;Alexis Guendouz;Argélia
772;Ramy Bensebaini;Argélia
773;Youcef Atal;Argélia
774;Rayan Aït-Nouri;Argélia
775;Mohamed Amine Tougai;Argélia
776;Aïssa Mandi;Argélia
777;Ismael Bennacer;Argélia
778;Houssem Aouar;Argélia
779;Hicham Boudaoui;Argélia
780;Ramiz Zerrouki;Argélia
781;Nabil Bentaleb;Argélia
782;Foto do Time;Argélia
783;Farés Chaibi;Argélia
784;Riyad Mahrez;Argélia
785;Said Benrahma;Argélia
786;Anis Hadj Moussa;Argélia
787;Amine Gouiri;Argélia
788;Baghdad Bounedjah;Argélia
789;Mohammed Amoura;Argélia
790;Escudo Jordânia;Jordânia
791;Yazeed Abulaila;Jordânia
792;Ihsan Haddad;Jordânia
793;Mohammad Abu Hashish;Jordânia
794;Yazan Al-Arab;Jordânia
795;Abdallah Nasib;Jordânia
796;Saleem Obaid;Jordânia
797;Mohammad Abualnadi;Jordânia
798;Ibrahim Saadeh;Jordânia
799;Nizar Al-Rashdan;Jordânia
800;Noor Al-Rawabdeh;Jordânia
801;Mohannad Abu Taha;Jordânia
802;Foto do Time;Jordânia
803;Amer Jamous;Jordânia
804;Musa Al-Taamari;Jordânia
805;Yazan Al-Naimat;Jordânia
806;Mahmoud Al-Mardi;Jordânia
807;Ali Olwan;Jordânia
808;Mohammad Abu Zrayq;Jordânia
809;Ibrahim Sabra;Jordânia
810;Escudo Portugal;Portugal
811;Diogo Costa;Portugal
812;Jose Sá;Portugal
813;Ruben Dias;Portugal
814;João Cancelo;Portugal
